,title,overview,original_language,release_date,popularity,vote_count,vote_average
2648,The Lazarus Effect,"Medical researcher Frank, his fiancee Zoe and their team have achieved the impossible: they have found a way to revive the dead. After a successful, but unsanctioned, experiment on a lifeless animal, they are ready to make their work public. However, when their dean learns what they've done, he shuts them down. Zoe is killed during an attempt to recreate the experiment, leading Frank to test the process on her. Zoe is revived -- but something evil is within her.",en,2015-01-29,11.616,926,5.2
2649,Osmosis Jones,"A policeman white blood cell, with the help of a cold pill, must stop a deadly virus from destroying the human they live in, Frank.",en,2001-08-07,14.053,575,6.2
2650,An American Girl: Chrissa Stands Strong,A fourth grader and her friends deal with bullying from a more popular girl in their class.,en,2009-01-05,14.052,17,5.6
2651,High Fidelity,"When record store owner Rob Gordon gets dumped by his girlfriend, Laura, because he hasn't changed since they met, he revisits his top five breakups of all time in an attempt to figure out what went wrong. As Rob seeks out his former lovers to find out why they left, he keeps up his efforts to win Laura back.",en,2000-03-17,14.05,1160,7.2
2652,The Cell,A psychotherapist journeys inside a comatose serial killer in the hopes of saving his latest victim.,en,2000-08-17,14.047,870,6.1
2653,The Fifth Estate,"A look at the relationship between WikiLeaks founder Julian Assange and his early supporter and eventual colleague Daniel Domscheit-Berg, and how the website's growth and influence led to an irreparable rift between the two friends.",en,2013-10-11,10.063,619,6.0
2654,Amityville: The Awakening,"Belle, her little sister, and her comatose twin brother move into a new house with their single mother Joan in order to save money to help pay for her brother's expensive healthcare. But when strange phenomena begin to occur in the house including the miraculous recovery of her brother, Belle begins to suspect her Mother isn't telling her everything and soon realizes they just moved into the infamous Amityville house.",en,2017-07-20,11.373,676,5.4
2655,When Harry Met Sally...,"During their travel from Chicago to New York, Harry and Sally debate whether or not sex ruins a friendship between a man and a woman. Eleven years later, and they're still no closer to finding the answer.",en,1989-07-21,14.042,2324,7.4
2656,A Goofy Movie,"Though Goofy always means well, his amiable cluelessness and klutzy pratfalls regularly embarrass his awkward adolescent son, Max. When Max's lighthearted prank on his high-school principal finally gets his longtime crush, Roxanne, to notice him, he asks her on a date. Max's trouble at school convinces Goofy that he and the boy need to bond over a cross-country fishing trip like the one he took with his dad when he was Max's age, which throws a kink in his son's plans to impress Roxanne.",en,1995-04-07,14.041,990,6.9
2657,Christmas Inheritance,"To inherit her father's company, socialite Ellen must first visit his small hometown, where she learns the value of hard work and helping others.",en,2017-12-15,14.876,568,6.5
2658,Starship Troopers 3: Marauder,"The war against the Bugs continues! A Federation Starship crash-lands on the distant Alien planet OM-1, stranding beloved leader Sky Marshal Anoke and several others, including comely but tough pilot Lola Beck. It's up to Colonel/General Johnny Rico, reluctant hero of the original Bug Invasion on Planet P, to lead a team of Troopers on a daring rescue mission.",en,2008-07-19,14.038,248,4.4
2659,Star Trek IV: The Voyage Home,"Fugitives of the Federation for their daring rescue of Spock from the doomed Genesis Planet, Admiral Kirk (William Shatner) and his crew begin their journey home to face justice for their actions. But as they near Earth, they find it at the mercy of a mysterious alien presence whose signals are slowly destroying the planet. In a desperate attempt to answer the call of the probe, Kirk and his crew race back to the late twentieth century. However they soon find the world they once knew to be more alien than anything they've encountered in the far reaches of the galaxy!",en,1986-11-26,14.036,831,7.2
2660,Possession,"Maud Bailey, a brilliant English academic, is researching the life and work of poet Christabel La Motte. Roland Michell is an American scholar in London to study Randolph Henry Ash, now best-known for a collection of poems dedicated to his wife. When Maud and Roland discover a cache of love letters that appear to be from Ash to La Motte, they follow a trail of clues across England, echoing the journey of the couple over a century earlier.",en,2002-10-02,14.033,104,6.2
2661,Fortress,A futuristic prison movie. Protagonist and wife are nabbed at a future US emigration point with an illegal baby during population control. The resulting prison experience is the subject of the movie. The prison is a futuristic one run by a private corporation bent on mind control in various ways,en,1992-09-30,14.027,325,5.9
2662,Kiss the Girls,"Forensic psychologist Alex Cross travels to North Carolina and teams with escaped kidnap victim Kate McTiernan to hunt down ""Casanova,"" a serial killer who abducts strong-willed women and forces them to submit to his demands. The trail leads to Los Angeles, where the duo discovers that the psychopath may not be working alone.",en,1997-09-29,14.025,754,6.4
2663,Vicky Cristina Barcelona,"Two girlfriends on a summer holiday in Spain become enamored with the same painter, unaware that his ex-wife, with whom he has a tempestuous relationship, is about to re-enter the picture.",en,2008-08-15,14.024,2360,6.8
2664,3:10 to Yuma,"In Arizona in the late 1800s, infamous outlaw Ben Wade and his vicious gang of thieves and murderers have plagued the Southern Railroad. When Wade is captured, Civil War veteran Dan Evans, struggling to survive on his drought-plagued ranch, volunteers to deliver him alive to the ""3:10 to Yuma"", a train that will take the killer to trial.",en,2007-09-06,14.021,2141,7.1
2665,The Brave Little Toaster,"A group of dated appliances find themselves stranded in a summer home that their family had just sold decide to, a la The Incredible Journey, seek their young 8 year old ""master"". Children's film which on the surface is a frivolous fantasy, but with a dark subtext of abandonment, obsolescence, and loneliness.",en,1987-07-09,14.018,240,6.8
2666,Miracles from Heaven,"When Christy discovers her 10-year-old daughter Anna has a rare, incurable disease, she becomes a ferocious advocate for her daughter’s healing as she searches for a solution. After Anna has a freak accident and falls three stories, a miracle unfolds in the wake of her dramatic rescue that leaves medical specialists mystified, her family restored and their community inspired.",en,2016-03-17,19.624,602,7.2
2667,Sweetheart,"Jenn has washed ashore a small tropical island and it doesn’t take her long to realize she’s completely alone. She must spend her days not only surviving the elements, but must also fend off the malevolent force that comes out each night.",en,2019-01-28,12.733,63,6.3
2668,The Piano Teacher,"Erika Kohut, a sexually repressed piano teacher living with her domineering mother, meets a young man who starts romantically pursuing her.",fr,2001-07-21,14.015,494,7.3
2669,Heaven is for Real,"The true story of the 4-year old son of a small-town pastor who, during emergency surgery, slips from consciousness and enters heaven. When he awakes, he recounts his experiences on the other side.",en,2014-04-16,14.109,431,6.4
2670,Wild Hogs,"Restless and ready for adventure, four suburban bikers leave the safety of their subdivision and head out on the open road. But complications ensue when they cross paths with an intimidating band of New Mexico bikers known as the Del Fuegos.",en,2007-03-02,14.013,1393,5.8
2671,Tall Girl,"Jodi, the tallest girl in her high school, has always felt uncomfortable in her own skin. But after years of slouching, being made fun of, and avoiding attention at all costs, Jodi finally decides to find the confidence to stand tall.",en,2019-09-13,15.437,893,6.1
2672,Legend of the Guardians: The Owls of Ga'Hoole,"Soren, a young barn owl, is kidnapped by owls of St. Aggie's, ostensibly an orphanage, where owlets are brainwashed into becoming soldiers. He and his new friends escape to the island of Ga'Hoole, to assist its noble, wise owls who fight the army being created by the wicked rulers of St. Aggie's. The film is based on the first three books in the series.",en,2010-07-10,14.004,1425,6.7
2673,It's a Boy Girl Thing,"A visit to a natural history museum proves catastrophic for two high school rivals, an overachiever and a jock, when an ancient Aztec statue casts a spell that causes them to switch bodies and see exactly what it's like to walk in the other's shoes.",en,2006-12-26,14.004,669,6.5
2674,The Santa Clause 3: The Escape Clause,"Now that Santa and Mrs. Claus have the North Pole running smoothly, the Counsel of Legendary Figures has called an emergency meeting on Christmas Eve! The evil Jack Frost has been making trouble, looking to take over the holiday! So he launches a plan to sabotage the toy factory and compel Scott to invoke the little-known Escape Clause and wish he'd never become Santa.",en,2006-11-01,14.003,601,5.3
2675,Spanglish,"Mexican immigrant and single mother Flor Moreno finds housekeeping work with Deborah and John Clasky, a well-off couple with two children of their own. When Flor admits she can't handle the schedule because of her daughter, Cristina, Deborah decides they should move into the Clasky home. Cultures clash and tensions run high as Flor and the Claskys struggle to share space while raising their children on their own, and very different, terms.",en,2004-12-17,14.003,767,5.9
2676,Breathe,"Based on the true story of Robin, a handsome, brilliant and adventurous man whose life takes a dramatic turn when polio leaves him paralyzed.",en,2017-10-13,10.119,394,7.5
2677,Never Say Never Again,"James Bond returns as the secret agent 007 one more time to battle the evil organization SPECTRE. Bond must defeat Largo, who has stolen two atomic warheads for nuclear blackmail. But Bond has an ally in Largo's girlfriend, the willowy Domino, who falls for Bond and seeks revenge. This is the last time for Sean Connery as Her Majesty's Secret Agent 007. Made outside of the traditional Broccoli production environment due to separate rights having been obtained for this specific Ian Fleming story.",en,1983-10-07,14.002,730,6.1
2678,A Quiet Place Part II,"Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize that the creatures that hunt by sound are not the only threats that lurk beyond the sand path.",en,2020-09-03,14.0,0,0.0
2679,Vertical Limit,"Trapped near the summit of K2, the world's second-highest mountain, Annie Garrett radios to base camp for help. Brother Peter hears Annie's message and assembles a team to save her and her group before they succumb to K2's unforgiving elements. But, as Annie lays injured in an icy cavern, the rescuers face several terrifying events that could end the rescue attempt -- and their lives.",en,2000-12-08,13.997,575,6.0
2680,Æon Flux,"400 years into the future, disease has wiped out the majority of the world's population, except one walled city, Bregna, ruled by a congress of scientists. When Æon Flux, the top operative in the underground 'Monican' rebellion, is sent on a mission to kill a government leader, she uncovers a world of secrets.",en,2005-11-30,13.997,1291,5.5
2681,Baahubali 2: The Conclusion,"When Mahendra, the son of Bahubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom.",te,2017-04-27,9.615,289,7.0
2682,Dying of the Light,"Evan Lake, a veteran CIA agent, has been ordered to retire. But when his protégé uncovers evidence that Lake's nemesis, the terrorist Banir, has resurfaced, Lake goes rogue, embarking on a perilous, intercontinental mission to eliminate his sworn enemy.",en,2014-12-04,13.357,197,4.7
2683,Quo Vadis,"Set against the back drop of Rome in crisis, General Marcus Vinicius returns to the city from the battle fields and falls in love with a Christian woman, Lygia. Caught in the grip of insanity, Nero's atrocities become more extreme and he burns Rome, laying the blame on the Christians. Vinicius races to save Lygia from the wrath of Nero as the empire of Rome collapses around them.",en,1951-11-08,13.993,187,6.9
2684,The Grudge 3,"Jake Kimble, the sole survivor of the Chicago massacre, is killed while in solitary confinement. His doctor begins investigating the claims he made about a long-haired woman in white, as a mysterious Japanese woman arrives at his old apartment building to help them get rid of the curse.",en,2009-05-12,13.992,343,5.3
2685,Dracula: Dead and Loving It,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Professor Van Helsing, who may be the only one able to vanquish the Count.",en,1995-12-22,13.988,509,5.9
2686,The Siege of Jadotville,Irish Commandant Pat Quinlan leads a stand off with troops against French and Belgian Mercenaries in the Congo during in the early 1960s.,en,2016-09-19,12.611,447,7.2
2687,Kill the Messenger,A reporter becomes the target of a vicious smear campaign that drives him to the point of suicide after he exposes the CIA's role in arming Contra rebels in Nicaragua and importing cocaine into California. Based on the true story of journalist Gary Webb.,en,2014-10-09,13.856,560,6.6
2688,Street Flow,"Noumouké, from the suburb of Paris, is about to decide which brother's foot steps to follow - the lawyer student Soulaymaan or the gangster Demba.",fr,2019-10-12,9.698,184,7.2
2689,The Guardian,"A high school swim champion with a troubled past enrolls in the U.S. Coast Guard's 'A' School, where legendary rescue swimmer, Ben Randall teaches him some hard lessons about loss, love, and self-sacrifice.",en,2006-09-28,13.981,837,7.0
2690,Meet the Parents,"Greg Focker is ready to marry his girlfriend, Pam, but before he pops the question, he must win over her formidable father, humorless former CIA agent Jack Byrnes, at the wedding of Pam's sister. As Greg bends over backward to make a good impression, his visit to the Byrnes home turns into a hilarious series of disasters, and everything that can go wrong does, all under Jack's critical, hawklike gaze.",en,2000-10-06,13.981,3785,6.6
2691,McLintock!,"Aging rancher George Washington McLintock, a wealthy self-made man, is forced to deal with numerous personal and professional problems. Seemingly everyone wants a piece of his enormous farmstead, including high-ranking government men, McLintock's own sons and nearby Native Americans. As McLintock tries to juggle his various adversaries, his wife, who left him two years previously, suddenly returns. But she isn't interested in her husband -- she wants custody of their daughter.",en,1963-11-13,13.98,109,6.7
2692,The Night of the Hunter,"In the Deep South, a serial-killing preacher hunts two young children who know the whereabouts of a stash of money.",en,1955-08-26,13.978,795,8.0
2693,Destination Wedding,"Frank and Lindsay—two emotionally-broken strangers—meet on the way to a destination wedding. Over the course of the weekend and against all odds, they find themselves drawn together even though they are initially repulsed by one another.",en,2018-08-02,13.574,331,5.6
2694,The Night Clerk,"Hotel night clerk Bart Bromley is a highly intelligent young man on the Autism spectrum. When a woman is murdered during his shift, Bart becomes the prime suspect. As the police investigation closes in, Bart makes a personal connection with a beautiful guest named Andrea, but soon realises he must stop the real murderer before she becomes the next victim.",en,2020-02-21,14.537,27,5.8
2695,The Beguiled,"During the Civil War, at a Southern girls’ boarding school, young women take in an injured enemy soldier. As they provide refuge and tend to his wounds, the house is taken over with sexual tension and dangerous rivalries, and taboos are broken in an unexpected turn of events.",en,2017-06-23,9.561,1388,5.7
2696,The Monuments Men,"Based on the true story of the greatest treasure hunt in history, The Monuments Men is an action drama focusing on seven over-the-hill, out-of-shape museum directors, artists, architects, curators, and art historians who went to the front lines of WWII to rescue the world’s artistic masterpieces from Nazi thieves and return them to their rightful owners.  With the art hidden behind enemy lines, how could these guys hope to succeed?",en,2014-01-24,12.252,2465,6.0
2697,Wolf Children,"After her werewolf lover unexpectedly dies in an accident, a woman must find a way to raise the son and daughter that she had with him. However, their inheritance of their father's traits prove to be a challenge for her.",ja,2012-07-21,13.967,1248,8.2
2698,The Haunting,"Dr. David Marrow invites Eleanor Vance, Luke Sanderson, and Theo to the eerie and isolated Hill House to be subjects for a sleep disorder study. The unfortunate guests discover that Marrow is far more interested in the sinister mansion itself — and they soon see the true nature of its horror.",en,1999-07-23,13.967,794,5.3
2699,After Earth,"One thousand years after cataclysmic events forced humanity's escape from Earth, Nova Prime has become mankind's new home. Legendary General Cypher Raige returns from an extended tour of duty to his estranged family, ready to be a father to his 13-year-old son, Kitai. When an asteroid storm damages Cypher and Kitai's craft, they crash-land on a now unfamiliar and dangerous Earth. As his father lies dying in the cockpit, Kitai must trek across the hostile terrain to recover their rescue beacon. His whole life, Kitai has wanted nothing more than to be a soldier like his father. Today, he gets his chance.",en,2013-05-30,13.965,4660,5.1
2700,Mr. Right,"A girl falls for the ""perfect"" guy, who happens to have a very fatal flaw: he's a hitman on the run from the crime cartels who employ him.",en,2016-02-29,10.105,870,6.4
2701,Krampus,A horror comedy based on the ancient legend about a pagan creature who punishes children on Christmas.,en,2015-11-26,10.104,1214,6.0
2702,Hostage,"When a mafia accountant is taken hostage on his beat, a police officer – wracked by guilt from a prior stint as a negotiator – must negotiate the standoff, even as his own family is held captive by the mob.",en,2005-03-10,13.958,994,6.3
2703,The Others,"Grace is a religious woman who lives in an old house kept dark because her two children, Anne and Nicholas, have a rare sensitivity to light. When the family begins to suspect the house is haunted, Grace fights to protect her children at any cost in the face of strange events and disturbing visions.",en,2001-08-02,13.956,3766,7.6
2704,Final Destination 3,"A student's premonition of a deadly rollercoaster ride saves her life and a lucky few, but not from death itself – which seeks out those who escaped their fate.",en,2006-02-09,13.955,2246,6.0
2705,Birdman of Alcatraz,"After killing a prison guard, convict Robert Stroud faces life imprisonment in solitary confinement. Driven nearly mad by loneliness and despair, Stroud's life gains new meaning when he happens upon a helpless baby sparrow in the exercise yard and nurses it back to health. Despite having only a third grade education, Stroud goes on to become a renowned ornithologist and achieves a greater sense of freedom and purpose behind bars than most people find in the outside world.",en,1962-07-03,13.955,134,7.4
2706,Notting Hill,"William Thacker is a London bookstore owner whose humdrum existence is thrown into romantic turmoil when famous American actress Anna Scott appears in his shop. A chance encounter over spilled orange juice leads to a kiss that blossoms into a full-blown affair. As the average bloke and glamorous movie star draw closer and closer together, they struggle to reconcile their radically different lifestyles in the name of love.",en,1999-05-13,13.955,3502,7.2
2707,Elle,"When Michèle, the CEO of a gaming software company, is attacked in her home by an unknown assailant, she refuses to let it alter her precisely ordered life. She manages crises involving family, all the while becoming engaged in a game of cat and mouse with her stalker.",fr,2016-05-25,9.354,1153,6.7
2708,Mister Happiness,"Martino's sister, Caterina, can't work anymore for health reasons and he replaces her as cleaner for dr. Guglielmo Gioia, a mental coach. While the doctor leaves, Martino pretends to be his assistant.",it,2017-01-01,12.107,256,6.2
2709,Before I Fall,"Samantha Kingston has everything. Then, everything changes. After one fateful night, she wakes up with no future at all. Trapped into reliving the same day over and over, she begins to question just how perfect her life really was.",en,2017-03-02,12.858,2489,7.0
2710,Incendies,"A mother's last wishes send twins Jeanne and Simon on a journey to Middle East in search of their tangled roots. Adapted from Wajdi Mouawad's acclaimed play, Incendies tells the powerful and moving tale of two young adults' voyage to the core of deep-rooted hatred, never-ending wars and enduring love.",fr,2010-09-04,13.95,1230,8.1
2711,45 Years,"There is just one week until Kate Mercer's 45th wedding anniversary and the planning for the party is going well. But then a letter arrives for her husband. The body of his first love has been discovered, frozen and preserved in the icy glaciers of the Swiss Alps. By the time the party is upon them, five days later, there may not be a marriage left to celebrate.",en,2015-08-04,15.101,481,6.6
2712,Chernobyl Diaries,"A group of six tourists looking to go off the beaten path, hire an 'extreme tour guide' who, ignoring warnings, takes them into the city of Pripyat, the former home to the workers of the Chernobyl nuclear reactor, but now a deserted town since the disaster more than 25 years earlier. After a brief exploration of the abandoned city, the group members find themselves stranded, only to discover that they are not alone.",en,2012-05-24,13.944,960,5.0
2713,"Aguirre, the Wrath of God","A few decades after the destruction of the Inca empire, a Spanish expedition leaves the mountains of Peru and goes down the Amazon river in search of gold and wealth. Soon, they come across great difficulties and Don Aguirre, a ruthless man who cares only about riches, becomes their leader. But will his quest lead them to ""the golden city"", or to certain destruction?",de,1972-12-29,13.944,531,7.6
2714,TMNT,"After the defeat of their old arch nemesis, The Shredder, the Turtles have grown apart as a family. Struggling to keep them together, their rat sensei, Splinter, becomes worried when strange things begin to brew in New York City.",en,2007-03-23,13.944,636,5.9
2715,Mike's New Car,"Mike discovers that being the top-ranking laugh collector at Monsters, Inc. has it's benefits - in particular, earning enough money to buy a six-wheel-drive car that's loaded with gadgets. That new-car smell doesn't last long enough, however, as Sulley jump-starts an ill-fated road test that teaches Mike the true meaning of buyer's remorse.",en,2002-05-24,13.943,345,6.9
2716,Hotel Artemis,"Los Angeles, June 21st, 2028. While the streets are being torn apart by riots, the Nurse, who runs a clandestine hospital for criminals in the penthouse of the Artemis, a closed old hotel, has a rough night dealing with troublemaker clients: thieves, assassins, someone from the past and the one who owns the place and the whole city.",en,2018-06-07,13.317,778,6.0
2717,Season of the Witch,"A 14th century Crusader returns with his comrade to a homeland devastated by the Black Plague. The Church commands the two knights to transport a witch to a remote abbey, where monks will perform a ritual in hopes of ending the pestilence.",en,2011-01-07,13.939,1550,5.3
2718,Summertime,"In 1971, Carole and Delphine meet and fall in love in Paris. When Carole follows Delphine back to her family farm in Limousin, the two find lesbianism and feminism are not as easy in the countryside.",fr,2015-08-19,18.3,190,6.6
2719,Big Fish,"Throughout his life Edward Bloom has always been a man of big appetites, enormous passions and tall tales. In his later years, he remains a huge mystery to his son, William. Now, to get to know the real man, Will begins piecing together a true picture of his father from flashbacks of his amazing adventures.",en,2003-12-25,13.938,4537,7.8
2720,A Christmas Prince: The Royal Baby,"Christmas brings the ultimate gift to Aldovia: a royal baby. But first, Queen Amber must help her family and kingdom by finding a missing peace treaty.",en,2019-12-05,11.735,257,6.3
2721,Butch Cassidy and the Sundance Kid,"In late 1890s Wyoming, Butch Cassidy is the affable, clever and talkative leader of the outlaw Hole in the Wall Gang. His closest companion is the laconic dead-shot 'Sundance Kid'. As the west rapidly becomes civilized, the law finally catches up to Butch, Sundance and their gang.  Chased doggedly by a special posse, the two decide to make their way to South America in hopes of evading their pursuers once and for all.",en,1969-09-23,13.935,1224,7.6
2722,Y Tu Mamá También,"In Mexico, two teenage boys and an attractive older woman embark on a road trip and learn a thing or two about life, friendship, sex, and each other.",es,2001-06-08,13.934,723,7.4
2723,Rock Dog,"When a radio falls from the sky into the hands of a wide-eyed Tibetan Mastiff, he leaves home to fulfill his dream of becoming a musician, setting into motion a series of completely unexpected events.",en,2016-07-08,14.602,152,5.9
2724,John Q,"John Quincy Archibald is a father and husband whose son is diagnosed with an enlarged heart and then finds out he cannot receive a transplant because HMO insurance will not cover it. Therefore, he decides to take a hospital full of patients hostage until the hospital puts his son's name on the donor's list.",en,2002-02-15,13.931,1257,7.1
2725,Burnt,"Adam Jones is a Chef who destroyed his career with drugs and diva behavior. He cleans up and returns to London, determined to redeem himself by spearheading a top restaurant that can gain three Michelin stars.",en,2015-10-02,11.349,2102,6.4
2726,Concrete,"A high-school girl is kidnapped by gang lords and held captive for several months. Over this time, she repeatedly beaten, raped, and tortured.  On the 25th of November 1988, four youths abducted and held Furuta Junko in the house of one of the captors. Subjected to rape, torture, and humiliation, Junko had no hope of escape as the manhunt was stalled by the captors forcing her to tell her parents that she was ok. For 41 harrowing days, Junko had to endure unimaginable suffering at the hands of these four individuals. Finally, after losing in a game of mahjong solitaire, they beat her with an iron dumbbell and set on fire with lighter fluid. She died later that day from shock. In an attempt to hide their crime they buried her in cement and thus the name 'Concrete Encased High School Murder Case' was born as Japan had to confront the horrors of this crime. The perpetrators disposed the drum in a tract of reclaimed land in Koto, Tokyo.",ja,2004-02-11,13.021,6,5.7
2727,Taking Lives,"Recruited to assist Montreal police in their desperate search for a serial killer who assumes the identities of his victims, FBI profiler Illeana Scott knows it's only a matter of time before the killer strikes again. Her most promising lead is a museum employee who might be the killer's only eyewitness.",en,2004-03-19,13.925,826,6.3
2728,Breathless,A young car thief kills a policeman and tries to persuade a girl to hide in Italy with him.,fr,1960-03-16,13.923,849,7.8
2729,After We Collided,Based on the book of the same name.,en,2020-05-08,13.674,0,0.0
2730,Starship Troopers 2: Hero of the Federation,"In the sequel to Paul Verhoeven's loved/reviled sci-fi film, a group of troopers taking refuge in an abandoned outpost after fighting alien bugs, failing to realize that more danger lays in wait.",en,2004-04-20,13.92,297,3.9
2731,Spaceballs,"When the nefarious Dark Helmet hatches a plan to snatch Princess Vespa and steal her planet's air, space-bum-for-hire Lone Starr and his clueless sidekick fly to the rescue. Along the way, they meet Yogurt, who puts Lone Starr wise to the power of ""The Schwartz."" Can he master it in time to save the day?",en,1987-06-24,13.918,1745,6.8
2732,Flipped,"When Juli meets Bryce in the second grade, she knows it's true love. After spending six years trying to convince Bryce the same, she's ready to give up - until he starts to reconsider.",en,2010-08-06,13.916,1025,7.4
2733,Sunrise: A Song of Two Humans,"A married farmer falls under the spell of a slatternly woman from the city, who tries to convince him to drown his wife.",en,1927-11-04,13.916,387,8.0
2734,Sudden Impact,"When a young rape victim takes justice into her own hands and becomes a serial killer, it's up to Dirty Harry Callahan, on suspension from the SFPD, to bring her to justice.",en,1983-12-07,13.914,440,6.6
2735,Moon,"With only three weeks left in his three year contract, Sam Bell is getting anxious to finally return to Earth. He is the only occupant of a Moon-based manufacturing facility along with his computer and assistant, GERTY. When he has an accident however, he wakens to find that he is not alone.",en,2009-06-12,13.913,3562,7.6
2736,The Hills Have Eyes 2,A group of National Guard trainees find themselves battling against a vicious group of mutants on their last day of training in the desert.,en,2007-03-22,13.913,731,5.2
2737,Blue Jasmine,"Jasmine French used to be on the top of the heap as a New York socialite, but now is returning to her estranged sister in San Francisco utterly ruined. As Jasmine struggles with her haunting memories of a privileged past bearing dark realities she ignored, she tries to recover in her present. Unfortunately, it all proves a losing battle as Jasmine’s narcissistic hangups and their consequences begin to overwhelm her. In doing so, her old pretensions and new deceits begin to foul up everyone’s lives, especially her own.",en,2013-07-25,11.093,2351,7.0
2738,Carrie,"Carrie White, a shy and troubled teenage girl who is tormented by her high school peers and her fanatically religious mother, begins to use her powers of telekinesis to exact revenge upon them.",en,1976-11-03,13.911,2109,7.2
2739,Repo Men,"In the future, medical technology has advanced to the point where people can buy artificial organs to extend their lives. But if they default on payments, an organization known as the Union sends agents to repossess the organs. Remy is one of the best agents in the business, but when he becomes the recipient of an artificial heart, he finds himself in the same dire straits as his many victims.",en,2010-03-18,13.908,1137,6.3
2740,The Do-Over,The life of a bank manager is turned upside down when a friend from his past manipulates him into faking his own death and taking off on an adventure.,en,2016-05-27,8.597,946,5.7
2741,Friday the 13th Part VIII: Jason Takes Manhattan,"Rennie Wickham is celebrating her graduation aboard the S.S. Lazarus, along with her strict uncle, her favorite teacher, her boyfriend, Sean Robertson, all of her classmates, and a stowaway: hockey-masked serial killer Jason Voorhees. One by one, Jason slowly murders each classmate and sinks the ship, stranding the survivors in New York. Rennie and the few survivors now must face Jason to save their lives from impending doom.",en,1989-07-28,13.904,478,4.8
2742,This Is Spinal Tap,"""This Is Spinal Tap"" shines a light on the self-contained universe of a metal band struggling to get back on the charts, including everything from its complicated history of ups and downs, gold albums, name changes and undersold concert dates, along with the full host of requisite groupies, promoters, hangers-on and historians, sessions, release events and those special behind-the-scenes moments that keep it all real.",en,1984-05-04,13.903,815,7.6
2743,Swordfish,"Rogue agent Gabriel Shear is determined to get his mitts on $9 billion stashed in a secret Drug Enforcement Administration account. He wants the cash to fight terrorism, but lacks the computer skills necessary to hack into the government mainframe. Enter Stanley Jobson, a n'er-do-well encryption expert who can log into anything.",en,2001-06-07,13.902,1682,6.2
2744,Careful What You Wish For,"A guy gets more than he bargained for after entering into an affair with the wife of an investment banker. Soon, a suspicious death and substantial life insurance policy embroil him in a scandal.",en,2015-05-06,11.794,253,6.0
2745,Looper,"In the futuristic action thriller Looper, time travel will be invented but it will be illegal and only available on the black market. When the mob wants to get rid of someone, they will send their target 30 years into the past where a looper, a hired gun, like Joe is waiting to mop up. Joe is getting rich and life is good until the day the mob decides to close the loop, sending back Joe's future self for assassination.",en,2012-09-26,13.9,7368,6.8
2746,Meet the Robinsons,"In this animated adventure, brilliant preteen inventor Lewis creates a memory scanner to retrieve his earliest recollections and find out why his mother gave him up for adoption. But when the villainous Bowler Hat Guy steals the machine, Lewis is ready to give up on his quest until the mysterious Wilbur Robinson shows up on the scene, whisking Lewis to the future to find the scanner and his mom.",en,2007-03-23,13.898,1728,6.8
2747,Fear,A 16 year old girl takes up with a charming young man who quickly shows his colors when he beats a friend simply for walking with her and then goes totally ballistic after she tries to break up with him.,en,1996-04-12,13.895,340,6.2
2748,Veronica,"Madrid, June 1991. After celebrating a session of Ouija with her friends, Verónica is besieged by dangerous supernatural presences that threaten to harm her entire family.",es,2017-08-25,12.002,993,6.1
2749,Vice,"George W. Bush picks Dick Cheney, the CEO of Halliburton Co., to be his Republican running mate in the 2000 presidential election. No stranger to politics, Cheney's impressive résumé includes stints as White House chief of staff, House Minority Whip and defense secretary. When Bush wins by a narrow margin, Cheney begins to use his newfound power to help reshape the country and the world.",en,2018-12-25,19.449,1930,7.1
2750,Nerve,"Industrious high school senior, Vee Delmonico, has had it with living life on the sidelines. When pressured by friends to join the popular online game Nerve, Vee decides to sign up for just one dare in what seems like harmless fun. But as she finds herself caught up in the thrill of the adrenaline-fueled competition partnered with a mysterious stranger, the game begins to take a sinister turn with increasingly dangerous acts, leading her into a high stakes finale that will determine her entire future.",en,2016-06-27,17.496,5151,7.1
2751,Westworld,"In a futuristic resort, wealthy patrons can visit recreations of different time periods and experience their wildest fantasies with life-like robots. But when Richard Benjamin opts for the wild west, he gets more than he bargained for when a gunslinger robot goes berserk.",en,1973-11-21,13.89,700,6.7
2752,Leaving,"Suzanne is a well to do married woman and mother in the south of France. Her idle bourgeois lifestyle gets her down and she decides to go back to work as a physiotherapist. Her husband agrees to fix up a consulting room for her in their backyard. When Suzanne and the man hired to do the building meet, the mutual attraction is sudden and violent. Suzanne decides to give up everything and live this all engulfing passion to the fullest.",fr,2009-08-12,13.889,52,6.3
2753,The Delta Force,"A 707 aircraft jetliner, en route from Athens to Rome and then to New York City, is hijacked by Lebanese terrorists, who demand that the pilot take them to Beirut. What the terrorists don't realize is that an elite team of commandos have been called in to eliminate all terrorists on the jetliner.",en,1986-02-14,13.885,183,5.7
2754,Cold Creek Manor,"A family moves from New York into an old mansion in the countryside, still filled with the previous owner's things. As they begin to make it their own, a series of events begin to occur that makes them believe that the former inhabitants are not yet gone.",en,2003-09-19,13.884,240,5.3
